Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Linear SVM,0.9020979020979021,0.875,0.9153846153846154,0.8947368421052632,0.9682692307692308
Logistic Regression,0.8916083916083916,0.8561151079136691,0.9153846153846154,0.8847583643122676,0.9685650887573964
